Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,FREQ,REPORTING_TYPE,SERIES,REF_AREA,SEX,UNIT_MEASURE,TIME_DETAIL,Value
2000,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_General Population Census of Cambodia",ប្រចាំឆ្នាំ,ជាតិ,៣.២.១ អត្រាមរណភាពមាតា,ប្រទេសកម្ពុជា,ស្រី,ក្នុងមួយកំណើតរស់ ១០០.០០០ នាក់,2019,437.0
2005,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_General Population Census of Cambodia",ប្រចាំឆ្នាំ,ជាតិ,៣.២.១ អត្រាមរណភាពមាតា,ប្រទេសកម្ពុជា,ស្រី,ក្នុងមួយកំណើតរស់ ១០០.០០០ នាក់,2019,472.0
2008,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_General Population Census of Cambodia",ប្រចាំឆ្នាំ,ជាតិ,៣.២.១ អត្រាមរណភាពមាតា,ប្រទេសកម្ពុជា,ស្រី,ក្នុងមួយកំណើតរស់ ១០០.០០០ នាក់,2019,460.84
2010,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_General Population Census of Cambodia",ប្រចាំឆ្នាំ,ជាតិ,៣.២.១ អត្រាមរណភាពមាតា,ប្រទេសកម្ពុជា,ស្រី,ក្នុងមួយកំណើតរស់ ១០០.០០០ នាក់,2019,206.0
2014,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_General Population Census of Cambodia",ប្រចាំឆ្នាំ,ជាតិ,៣.២.១ អត្រាមរណភាពមាតា,ប្រទេសកម្ពុជា,ស្រី,ក្នុងមួយកំណើតរស់ ១០០.០០០ នាក់,2019,170.0
2019,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_General Population Census of Cambodia",ប្រចាំឆ្នាំ,ជាតិ,៣.២.១ អត្រាមរណភាពមាតា,ប្រទេសកម្ពុជា,ស្រី,ក្នុងមួយកំណើតរស់ ១០០.០០០ នាក់,2019,141.0
2008,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_General Population Census of Cambodia",ប្រចាំឆ្នាំ,ជាតិ,៣.២.១ អត្រាមរណភាពមាតា,បន្ទាយមានជ័យ,ស្រី,ក្នុងមួយកំណើតរស់ ១០០.០០០ នាក់,2008,263.5
2008,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_General Population Census of Cambodia",ប្រចាំឆ្នាំ,ជាតិ,៣.២.១ អត្រាមរណភាពមាតា,បាត់ដំបង,ស្រី,ក្នុងមួយកំណើតរស់ ១០០.០០០ នាក់,2008,219.41
2008,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_General Population Census of Cambodia",ប្រចាំឆ្នាំ,ជាតិ,៣.២.១ អត្រាមរណភាពមាតា,កំពង់ចាម,ស្រី,ក្នុងមួយកំណើតរស់ ១០០.០០០ នាក់,2008,451.02
2008,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_General Population Census of Cambodia",ប្រចាំឆ្នាំ,ជាតិ,៣.២.១ អត្រាមរណភាពមាតា,កំពង់ឆ្នាំង,ស្រី,ក្នុងមួយកំណើតរស់ ១០០.០០០ នាក់,2008,277.22
2008,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_General Population Census of Cambodia",ប្រចាំឆ្នាំ,ជាតិ,៣.២.១ អត្រាមរណភាពមាតា,កំពង់ស្ពឺ,ស្រី,ក្នុងមួយកំណើតរស់ ១០០.០០០ នាក់,2008,460.78
2008,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_General Population Census of Cambodia",ប្រចាំឆ្នាំ,ជាតិ,៣.២.១ អត្រាមរណភាពមាតា,កំពង់ធំ,ស្រី,ក្នុងមួយកំណើតរស់ ១០០.០០០ នាក់,2008,590.68
2008,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_General Population Census of Cambodia",ប្រចាំឆ្នាំ,ជាតិ,៣.២.១ អត្រាមរណភាពមាតា,កំពត,ស្រី,ក្នុងមួយកំណើតរស់ ១០០.០០០ នាក់,2008,823.4
2008,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_General Population Census of Cambodia",ប្រចាំឆ្នាំ,ជាតិ,៣.២.១ អត្រាមរណភាពមាតា,កណ្តាល,ស្រី,ក្នុងមួយកំណើតរស់ ១០០.០០០ នាក់,2008,305.06
2008,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_General Population Census of Cambodia",ប្រចាំឆ្នាំ,ជាតិ,៣.២.១ អត្រាមរណភាពមាតា,កែប,ស្រី,ក្នុងមួយកំណើតរស់ ១០០.០០០ នាក់,2008,1388.13
2008,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_General Population Census of Cambodia",ប្រចាំឆ្នាំ,ជាតិ,៣.២.១ អត្រាមរណភាពមាតា,កោះកុង,ស្រី,ក្នុងមួយកំណើតរស់ ១០០.០០០ នាក់,2008,1113.26
2008,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_General Population Census of Cambodia",ប្រចាំឆ្នាំ,ជាតិ,៣.២.១ អត្រាមរណភាពមាតា,ខេត្តក្រចេះ,ស្រី,ក្នុងមួយកំណើតរស់ ១០០.០០០ នាក់,2008,491.03
2008,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_General Population Census of Cambodia",ប្រចាំឆ្នាំ,ជាតិ,៣.២.១ អត្រាមរណភាពមាតា,មណ្ឌលគីរី,ស្រី,ក្នុងមួយកំណើតរស់ ១០០.០០០ នាក់,2008,1498.75
2008,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_General Population Census of Cambodia",ប្រចាំឆ្នាំ,ជាតិ,៣.២.១ អត្រាមរណភាពមាតា,ឧត្តរមានជ័យ,ស្រី,ក្នុងមួយកំណើតរស់ ១០០.០០០ នាក់,2008,257.07
2008,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_General Population Census of Cambodia",ប្រចាំឆ្នាំ,ជាតិ,៣.២.១ អត្រាមរណភាពមាតា,ប៉ៃលិន,ស្រី,ក្នុងមួយកំណើតរស់ ១០០.០០០ នាក់,2008,630.63
2008,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_General Population Census of Cambodia",ប្រចាំឆ្នាំ,ជាតិ,៣.២.១ អត្រាមរណភាពមាតា,ភ្នំពេញ,ស្រី,ក្នុងមួយកំណើតរស់ ១០០.០០០ នាក់,2008,298.42
2008,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_General Population Census of Cambodia",ប្រចាំឆ្នាំ,ជាតិ,៣.២.១ អត្រាមរណភាពមាតា,ព្រះសីហនុ,ស្រី,ក្នុងមួយកំណើតរស់ ១០០.០០០ នាក់,2008,806.45
2008,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_General Population Census of Cambodia",ប្រចាំឆ្នាំ,ជាតិ,៣.២.១ អត្រាមរណភាពមាតា,ព្រះវិហារ,ស្រី,ក្នុងមួយកំណើតរស់ ១០០.០០០ នាក់,2008,476.33
2008,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_General Population Census of Cambodia",ប្រចាំឆ្នាំ,ជាតិ,៣.២.១ អត្រាមរណភាពមាតា,ព្រៃវែង,ស្រី,ក្នុងមួយកំណើតរស់ ១០០.០០០ នាក់,2008,613.66
2008,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_General Population Census of Cambodia",ប្រចាំឆ្នាំ,ជាតិ,៣.២.១ អត្រាមរណភាពមាតា,ពោធិសាត់,ស្រី,ក្នុងមួយកំណើតរស់ ១០០.០០០ នាក់,2008,269.49
2008,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_General Population Census of Cambodia",ប្រចាំឆ្នាំ,ជាតិ,៣.២.១ អត្រាមរណភាពមាតា,រតនគិរី,ស្រី,ក្នុងមួយកំណើតរស់ ១០០.០០០ នាក់,2008,1441.73
2008,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_General Population Census of Cambodia",ប្រចាំឆ្នាំ,ជាតិ,៣.២.១ អត្រាមរណភាពមាតា,សៀមរាប,ស្រី,ក្នុងមួយកំណើតរស់ ១០០.០០០ នាក់,2008,366.0
2008,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_General Population Census of Cambodia",ប្រចាំឆ្នាំ,ជាតិ,៣.២.១ អត្រាមរណភាពមាតា,ស្ទឹងត្រែង,ស្រី,ក្នុងមួយកំណើតរស់ ១០០.០០០ នាក់,2008,423.53
2008,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_General Population Census of Cambodia",ប្រចាំឆ្នាំ,ជាតិ,៣.២.១ អត្រាមរណភាពមាតា,ស្វាយរៀង,ស្រី,ក្នុងមួយកំណើតរស់ ១០០.០០០ នាក់,2008,558.84
2008,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_General Population Census of Cambodia",ប្រចាំឆ្នាំ,ជាតិ,៣.២.១ អត្រាមរណភាពមាតា,តាកែវ,ស្រី,ក្នុងមួយកំណើតរស់ ១០០.០០០ នាក់,2008,568.85
