Year,seriesdescription,geoarea,sex,age,urbanization,education-level,wealth-quintile,unit,scale,Value
2016,SL_TLF_UEM,ET,F,_T,U,_T,_T,Percent,1,24.7
2016,SL_TLF_UEM,ET,M,_T,U,_T,_T,Percent,1,9.4
2016,SL_TLF_UEM,ET01,F,_T,U,_T,_T,Percent,1,27.4
2016,SL_TLF_UEM,ET01,M,_T,U,_T,_T,Percent,1,12.8
2016,SL_TLF_UEM,ET02,F,_T,U,_T,_T,Percent,1,28.0
2016,SL_TLF_UEM,ET02,M,_T,U,_T,_T,Percent,1,10.5
2016,SL_TLF_UEM,ET03,F,_T,U,_T,_T,Percent,1,26.1
2016,SL_TLF_UEM,ET03,M,_T,U,_T,_T,Percent,1,9.7
2016,SL_TLF_UEM,ET04,F,_T,U,_T,_T,Percent,1,22.9
2016,SL_TLF_UEM,ET04,M,_T,U,_T,_T,Percent,1,8.3
2016,SL_TLF_UEM,ET05,F,_T,U,_T,_T,Percent,1,29.9
2016,SL_TLF_UEM,ET05,M,_T,U,_T,_T,Percent,1,9.2
2016,SL_TLF_UEM,ET06,F,_T,U,_T,_T,Percent,1,15.3
2016,SL_TLF_UEM,ET06,M,_T,U,_T,_T,Percent,1,7.5
2016,SL_TLF_UEM,ET07,F,_T,U,_T,_T,Percent,1,18.2
2016,SL_TLF_UEM,ET07,M,_T,U,_T,_T,Percent,1,5.1
2016,SL_TLF_UEM,ET12,F,_T,U,_T,_T,Percent,1,10.9
2016,SL_TLF_UEM,ET12,M,_T,U,_T,_T,Percent,1,5.5
2016,SL_TLF_UEM,ET13,F,_T,U,_T,_T,Percent,1,13.8
2016,SL_TLF_UEM,ET13,M,_T,U,_T,_T,Percent,1,7.1
2016,SL_TLF_UEM,ET14,F,_T,U,_T,_T,Percent,1,30.0
2016,SL_TLF_UEM,ET14,M,_T,U,_T,_T,Percent,1,12.4
2016,SL_TLF_UEM,ET15,F,_T,U,_T,_T,Percent,1,32.6
2016,SL_TLF_UEM,ET15,M,_T,U,_T,_T,Percent,1,16.4
