Year,indicador-disponível,objectivo,meta,indicador,sériedescrição,província,sexo,idade,área-de-residência,nível-de-educação,ocupação,deficiência,composição-composta,quintil,unit,scale,Value
2015,G,4,4.c,4.c.1,SE_TRA_GRDL,508,F,_T,_T,ISCED11_2,_T,_T,_T,_T,Percent,1,93.7
2016,G,4,4.c,4.c.1,SE_TRA_GRDL,508,F,_T,_T,ISCED11_2,_T,_T,_T,_T,Percent,1,93.3
2017,G,4,4.c,4.c.1,SE_TRA_GRDL,508,F,_T,_T,ISCED11_2,_T,_T,_T,_T,Percent,1,94.3
2015,G,4,4.c,4.c.1,SE_TRA_GRDL,508,F,_T,_T,ISCED11_3,_T,_T,_T,_T,Percent,1,97.9
2016,G,4,4.c,4.c.1,SE_TRA_GRDL,508,F,_T,_T,ISCED11_3,_T,_T,_T,_T,Percent,1,95.1
2017,G,4,4.c,4.c.1,SE_TRA_GRDL,508,F,_T,_T,ISCED11_3,_T,_T,_T,_T,Percent,1,95.9
2015,G,4,4.c,4.c.1,SE_TRA_GRDL,508,F,_T,_T,ISCED11_1,_T,_T,_T,_T,Percent,1,94.8
2016,G,4,4.c,4.c.1,SE_TRA_GRDL,508,F,_T,_T,ISCED11_1,_T,_T,_T,_T,Percent,1,96.4
2017,G,4,4.c,4.c.1,SE_TRA_GRDL,508,F,_T,_T,ISCED11_1,_T,_T,_T,_T,Percent,1,97.3
2015,G,4,4.c,4.c.1,SE_TRA_GRDL,508,M,_T,_T,ISCED11_2,_T,_T,_T,_T,Percent,1,91.9
2016,G,4,4.c,4.c.1,SE_TRA_GRDL,508,M,_T,_T,ISCED11_2,_T,_T,_T,_T,Percent,1,92.1
2017,G,4,4.c,4.c.1,SE_TRA_GRDL,508,M,_T,_T,ISCED11_2,_T,_T,_T,_T,Percent,1,94.2
2015,G,4,4.c,4.c.1,SE_TRA_GRDL,508,M,_T,_T,ISCED11_3,_T,_T,_T,_T,Percent,1,96.6
2016,G,4,4.c,4.c.1,SE_TRA_GRDL,508,M,_T,_T,ISCED11_3,_T,_T,_T,_T,Percent,1,95.7
2017,G,4,4.c,4.c.1,SE_TRA_GRDL,508,M,_T,_T,ISCED11_3,_T,_T,_T,_T,Percent,1,96.5
2015,G,4,4.c,4.c.1,SE_TRA_GRDL,508,M,_T,_T,ISCED11_1,_T,_T,_T,_T,Percent,1,92.0
2016,G,4,4.c,4.c.1,SE_TRA_GRDL,508,M,_T,_T,ISCED11_1,_T,_T,_T,_T,Percent,1,94.2
2017,G,4,4.c,4.c.1,SE_TRA_GRDL,508,M,_T,_T,ISCED11_1,_T,_T,_T,_T,Percent,1,95.7
2015,G,4,4.c,4.c.1,SE_TRA_GRDL,508,_T,_T,_T,ISCED11_2,_T,_T,_T,_T,Percent,1,92.3
2016,G,4,4.c,4.c.1,SE_TRA_GRDL,508,_T,_T,_T,ISCED11_2,_T,_T,_T,_T,Percent,1,92.4
2017,G,4,4.c,4.c.1,SE_TRA_GRDL,508,_T,_T,_T,ISCED11_2,_T,_T,_T,_T,Percent,1,94.2
2015,G,4,4.c,4.c.1,SE_TRA_GRDL,508,_T,_T,_T,ISCED11_3,_T,_T,_T,_T,Percent,1,96.9
2016,G,4,4.c,4.c.1,SE_TRA_GRDL,508,_T,_T,_T,ISCED11_3,_T,_T,_T,_T,Percent,1,95.6
2017,G,4,4.c,4.c.1,SE_TRA_GRDL,508,_T,_T,_T,ISCED11_3,_T,_T,_T,_T,Percent,1,96.4
2015,G,4,4.c,4.c.1,SE_TRA_GRDL,508,_T,_T,_T,ISCED11_1,_T,_T,_T,_T,Percent,1,93.2
2016,G,4,4.c,4.c.1,SE_TRA_GRDL,508,_T,_T,_T,ISCED11_1,_T,_T,_T,_T,Percent,1,95.1
2017,G,4,4.c,4.c.1,SE_TRA_GRDL,508,_T,_T,_T,ISCED11_1,_T,_T,_T,_T,Percent,1,96.4
