Year,indicador-disponível,objectivo,meta,indicador,sériedescrição,província,sexo,idade,área-de-residência,nível-de-educação,ocupação,deficiência,composição-composta,quintil,unit,scale,Value
2015,N,4,4.a,4.a.MZ_1,D27,508,_T,_T,_T,_T,_T,_T,_T,_T,Number,1,62.6
2016,N,4,4.a,4.a.MZ_1,D27,508,_T,_T,_T,_T,_T,_T,_T,_T,Number,1,61.7
2017,N,4,4.a,4.a.MZ_1,D27,508,_T,_T,_T,_T,_T,_T,_T,_T,Number,1,59.9
2015,N,4,4.a,4.a.MZ_1,D27,MZ-A,_T,_T,_T,_T,_T,_T,_T,_T,Number,1,63.0
2016,N,4,4.a,4.a.MZ_1,D27,MZ-A,_T,_T,_T,_T,_T,_T,_T,_T,Number,1,61.5
2017,N,4,4.a,4.a.MZ_1,D27,MZ-A,_T,_T,_T,_T,_T,_T,_T,_T,Number,1,60.1
2015,N,4,4.a,4.a.MZ_1,D27,MZ-P,_T,_T,_T,_T,_T,_T,_T,_T,Number,1,72.4
2016,N,4,4.a,4.a.MZ_1,D27,MZ-P,_T,_T,_T,_T,_T,_T,_T,_T,Number,1,71.5
2017,N,4,4.a,4.a.MZ_1,D27,MZ-P,_T,_T,_T,_T,_T,_T,_T,_T,Number,1,67.1
2015,N,4,4.a,4.a.MZ_1,D27,MZ-N,_T,_T,_T,_T,_T,_T,_T,_T,Number,1,69.2
2016,N,4,4.a,4.a.MZ_1,D27,MZ-N,_T,_T,_T,_T,_T,_T,_T,_T,Number,1,70.2
2017,N,4,4.a,4.a.MZ_1,D27,MZ-N,_T,_T,_T,_T,_T,_T,_T,_T,Number,1,70.4
2015,N,4,4.a,4.a.MZ_1,D27,MZ-Q,_T,_T,_T,_T,_T,_T,_T,_T,Number,1,71.9
2016,N,4,4.a,4.a.MZ_1,D27,MZ-Q,_T,_T,_T,_T,_T,_T,_T,_T,Number,1,68.7
2017,N,4,4.a,4.a.MZ_1,D27,MZ-Q,_T,_T,_T,_T,_T,_T,_T,_T,Number,1,65.3
2015,N,4,4.a,4.a.MZ_1,D27,MZ-T,_T,_T,_T,_T,_T,_T,_T,_T,Number,1,64.3
2016,N,4,4.a,4.a.MZ_1,D27,MZ-T,_T,_T,_T,_T,_T,_T,_T,_T,Number,1,60.8
2017,N,4,4.a,4.a.MZ_1,D27,MZ-T,_T,_T,_T,_T,_T,_T,_T,_T,Number,1,60.5
2015,N,4,4.a,4.a.MZ_1,D27,MZ-B,_T,_T,_T,_T,_T,_T,_T,_T,Number,1,50.3
2016,N,4,4.a,4.a.MZ_1,D27,MZ-B,_T,_T,_T,_T,_T,_T,_T,_T,Number,1,49.8
2017,N,4,4.a,4.a.MZ_1,D27,MZ-B,_T,_T,_T,_T,_T,_T,_T,_T,Number,1,48.0
2015,N,4,4.a,4.a.MZ_1,D27,MZ-S,_T,_T,_T,_T,_T,_T,_T,_T,Number,1,60.1
2016,N,4,4.a,4.a.MZ_1,D27,MZ-S,_T,_T,_T,_T,_T,_T,_T,_T,Number,1,59.8
2017,N,4,4.a,4.a.MZ_1,D27,MZ-S,_T,_T,_T,_T,_T,_T,_T,_T,Number,1,58.1
2015,N,4,4.a,4.a.MZ_1,D27,MZ-I,_T,_T,_T,_T,_T,_T,_T,_T,Number,1,45.8
2016,N,4,4.a,4.a.MZ_1,D27,MZ-I,_T,_T,_T,_T,_T,_T,_T,_T,Number,1,46.2
2017,N,4,4.a,4.a.MZ_1,D27,MZ-I,_T,_T,_T,_T,_T,_T,_T,_T,Number,1,45.1
2015,N,4,4.a,4.a.MZ_1,D27,MZ-G,_T,_T,_T,_T,_T,_T,_T,_T,Number,1,49.2
2016,N,4,4.a,4.a.MZ_1,D27,MZ-G,_T,_T,_T,_T,_T,_T,_T,_T,Number,1,49.5
2017,N,4,4.a,4.a.MZ_1,D27,MZ-G,_T,_T,_T,_T,_T,_T,_T,_T,Number,1,48.2
2015,N,4,4.a,4.a.MZ_1,D27,MZ-L,_T,_T,_T,_T,_T,_T,_T,_T,Number,1,55.8
2016,N,4,4.a,4.a.MZ_1,D27,MZ-L,_T,_T,_T,_T,_T,_T,_T,_T,Number,1,57.8
2017,N,4,4.a,4.a.MZ_1,D27,MZ-L,_T,_T,_T,_T,_T,_T,_T,_T,Number,1,53.9
2015,N,4,4.a,4.a.MZ_1,D27,MZ6,_T,_T,_T,_T,_T,_T,_T,_T,Number,1,61.0
2016,N,4,4.a,4.a.MZ_1,D27,MZ6,_T,_T,_T,_T,_T,_T,_T,_T,Number,1,60.0
2017,N,4,4.a,4.a.MZ_1,D27,MZ6,_T,_T,_T,_T,_T,_T,_T,_T,Number,1,58.7
