Year,indicador-disponível,sériedescrição,província,sexo,idade,área-de-residência,nível-de-educação,ocupação,deficiência,composição-composta,quintil,unit,TIME_DETAIL,Value
2007,G,SH_SAN_SAFE,508,_T,_T,_T,_T,_T,_T,_T,_T,Percent,2007,18.1
2007,G,SH_SAN_SAFE,508,_T,_T,U,_T,_T,_T,_T,_T,Percent,2007,46.2
2007,G,SH_SAN_SAFE,508,_T,_T,R,_T,_T,_T,_T,_T,Percent,2007,5.8
2007,G,SH_SAN_SAFE,MZ-A,_T,_T,_T,_T,_T,_T,_T,_T,Percent,2007,8.6
2007,G,SH_SAN_SAFE,MZ-P,_T,_T,_T,_T,_T,_T,_T,_T,Percent,2007,8.9
2007,G,SH_SAN_SAFE,MZ-N,_T,_T,_T,_T,_T,_T,_T,_T,Percent,2007,9.6
2007,G,SH_SAN_SAFE,MZ-Q,_T,_T,_T,_T,_T,_T,_T,_T,Percent,2007,5.8
2007,G,SH_SAN_SAFE,MZ-T,_T,_T,_T,_T,_T,_T,_T,_T,Percent,2007,10.3
2007,G,SH_SAN_SAFE,MZ-B,_T,_T,_T,_T,_T,_T,_T,_T,Percent,2007,16.6
2007,G,SH_SAN_SAFE,MZ-S,_T,_T,_T,_T,_T,_T,_T,_T,Percent,2007,21.3
2007,G,SH_SAN_SAFE,MZ-I,_T,_T,_T,_T,_T,_T,_T,_T,Percent,2007,18.0
2007,G,SH_SAN_SAFE,MZ-G,_T,_T,_T,_T,_T,_T,_T,_T,Percent,2007,26.6
2007,G,SH_SAN_SAFE,MZ-L,_T,_T,_T,_T,_T,_T,_T,_T,Percent,2007,47.8
2007,G,SH_SAN_SAFE,MZ6,_T,_T,_T,_T,_T,_T,_T,_T,Percent,2007,83.3
