Indicator,Disaggregations,Number of disaggregations
#1-1-1,"OBS_STATUS, NATURE, COMMENT_OBS, UNIT_MULT, SOURCE_DETAIL, FREQ, REPORTING_TYPE, SERIES, REF_AREA, UNIT_MEASURE",10
#1-2-1,"OBS_STATUS, NATURE, COMMENT_OBS, UNIT_MULT, SOURCE_DETAIL, FREQ, REPORTING_TYPE, SERIES, REF_AREA, UNIT_MEASURE, SEX, AGE, URBANISATION",13
#1-2-2,"OBS_STATUS, NATURE, COMMENT_OBS, UNIT_MULT, SOURCE_DETAIL, FREQ, REPORTING_TYPE, SERIES, REF_AREA, UNIT_MEASURE, URBANISATION",11
#1-3-1,"OBS_STATUS, NATURE, COMMENT_OBS, UNIT_MULT, SOURCE_DETAIL, FREQ, REPORTING_TYPE, SERIES, REF_AREA, UNIT_MEASURE, SEX, URBANISATION",12
#1-4-1,"OBS_STATUS, NATURE, COMMENT_OBS, UNIT_MULT, SOURCE_DETAIL, FREQ, REPORTING_TYPE, SERIES, REF_AREA, UNIT_MEASURE",10
#1-4-2,"OBS_STATUS, NATURE, COMMENT_OBS, UNIT_MULT, SOURCE_DETAIL, FREQ, REPORTING_TYPE, SERIES, REF_AREA, UNIT_MEASURE, SEX",11
#1-5-1,"OBS_STATUS, NATURE, COMMENT_OBS, UNIT_MULT, SOURCE_DETAIL, FREQ, REPORTING_TYPE, SERIES, REF_AREA, UNIT_MEASURE",10
#1-5-3,"OBS_STATUS, NATURE, COMMENT_OBS, UNIT_MULT, SOURCE_DETAIL, FREQ, REPORTING_TYPE, SERIES, REF_AREA, UNIT_MEASURE",10
#1-5-4,"OBS_STATUS, NATURE, COMMENT_OBS, UNIT_MULT, SOURCE_DETAIL, FREQ, REPORTING_TYPE, SERIES, REF_AREA, UNIT_MEASURE",10
#1-a-2,"OBS_STATUS, NATURE, COMMENT_OBS, UNIT_MULT, SOURCE_DETAIL, FREQ, REPORTING_TYPE, SERIES, REF_AREA, UNIT_MEASURE",10
#10-5-1,"OBS_STATUS, NATURE, COMMENT_OBS, UNIT_MULT, SOURCE_DETAIL, FREQ, REPORTING_TYPE, SERIES, REF_AREA, UNIT_MEASURE",10
#10-7-2,"OBS_STATUS, NATURE, COMMENT_OBS, UNIT_MULT, SOURCE_DETAIL, FREQ, REPORTING_TYPE, SERIES, REF_AREA, UNIT_MEASURE",10
#10-c-1,"OBS_STATUS, NATURE, COMMENT_OBS, UNIT_MULT, SOURCE_DETAIL, FREQ, REPORTING_TYPE, SERIES, REF_AREA, UNIT_MEASURE",10
#11-1-1,"OBS_STATUS, NATURE, COMMENT_OBS, UNIT_MULT, SOURCE_DETAIL, FREQ, REPORTING_TYPE, SERIES, REF_AREA, UNIT_MEASURE, URBANISATION",11
#11-5-1,"OBS_STATUS, NATURE, COMMENT_OBS, UNIT_MULT, SOURCE_DETAIL, FREQ, REPORTING_TYPE, SERIES, REF_AREA, UNIT_MEASURE",10
#11-5-2,"OBS_STATUS, NATURE, COMMENT_OBS, UNIT_MULT, SOURCE_DETAIL, FREQ, REPORTING_TYPE, SERIES, REF_AREA, UNIT_MEASURE",10
#11-b-2,"OBS_STATUS, NATURE, COMMENT_OBS, UNIT_MULT, SOURCE_DETAIL, FREQ, REPORTING_TYPE, SERIES, REF_AREA, UNIT_MEASURE",10
#12-4-1,"OBS_STATUS, NATURE, COMMENT_OBS, UNIT_MULT, SOURCE_DETAIL, FREQ, REPORTING_TYPE, SERIES, REF_AREA, UNIT_MEASURE",10
#12-7-1,"OBS_STATUS, NATURE, COMMENT_OBS, UNIT_MULT, SOURCE_DETAIL, FREQ, REPORTING_TYPE, SERIES, REF_AREA, UNIT_MEASURE",10
#13-1-1,"OBS_STATUS, NATURE, COMMENT_OBS, UNIT_MULT, SOURCE_DETAIL, FREQ, REPORTING_TYPE, SERIES, REF_AREA, UNIT_MEASURE",10
#13-1-3,"OBS_STATUS, NATURE, COMMENT_OBS, UNIT_MULT, SOURCE_DETAIL, FREQ, REPORTING_TYPE, SERIES, REF_AREA, UNIT_MEASURE",10
#15-1-1,"OBS_STATUS, NATURE, COMMENT_OBS, UNIT_MULT, SOURCE_DETAIL, FREQ, REPORTING_TYPE, SERIES, REF_AREA, UNIT_MEASURE",10
#15-1-2,"OBS_STATUS, NATURE, COMMENT_OBS, UNIT_MULT, SOURCE_DETAIL, FREQ, REPORTING_TYPE, SERIES, REF_AREA, UNIT_MEASURE",10
#15-4-1,"OBS_STATUS, NATURE, COMMENT_OBS, UNIT_MULT, SOURCE_DETAIL, FREQ, REPORTING_TYPE, SERIES, REF_AREA, UNIT_MEASURE",10
#16-1-1,"OBS_STATUS, NATURE, COMMENT_OBS, UNIT_MULT, SOURCE_DETAIL, FREQ, REPORTING_TYPE, SERIES, REF_AREA, UNIT_MEASURE",10
#16-1-3,"OBS_STATUS, NATURE, COMMENT_OBS, UNIT_MULT, SOURCE_DETAIL, FREQ, REPORTING_TYPE, SERIES, REF_AREA, UNIT_MEASURE, SEX",11
#16-1-4,"OBS_STATUS, NATURE, COMMENT_OBS, UNIT_MULT, SOURCE_DETAIL, FREQ, REPORTING_TYPE, SERIES, REF_AREA, UNIT_MEASURE",10
#16-10-2,"OBS_STATUS, NATURE, COMMENT_OBS, UNIT_MULT, SOURCE_DETAIL, FREQ, REPORTING_TYPE, SERIES, REF_AREA, UNIT_MEASURE",10
#16-2-2,"OBS_STATUS, NATURE, COMMENT_OBS, UNIT_MULT, SOURCE_DETAIL, FREQ, REPORTING_TYPE, SERIES, REF_AREA, UNIT_MEASURE",10
#16-3-2,"OBS_STATUS, NATURE, COMMENT_OBS, UNIT_MULT, SOURCE_DETAIL, FREQ, REPORTING_TYPE, SERIES, REF_AREA, UNIT_MEASURE",10
#16-5-1,"OBS_STATUS, NATURE, COMMENT_OBS, UNIT_MULT, SOURCE_DETAIL, FREQ, REPORTING_TYPE, SERIES, REF_AREA, UNIT_MEASURE",10
#16-5-2,"OBS_STATUS, NATURE, COMMENT_OBS, UNIT_MULT, SOURCE_DETAIL, FREQ, REPORTING_TYPE, SERIES, REF_AREA, UNIT_MEASURE",10
#16-6-1,"OBS_STATUS, NATURE, COMMENT_OBS, UNIT_MULT, SOURCE_DETAIL, FREQ, REPORTING_TYPE, SERIES, REF_AREA, UNIT_MEASURE",10
#16-6-2,"OBS_STATUS, NATURE, COMMENT_OBS, UNIT_MULT, SOURCE_DETAIL, FREQ, REPORTING_TYPE, SERIES, REF_AREA, UNIT_MEASURE",10
#16-7-2,"OBS_STATUS, NATURE, COMMENT_OBS, UNIT_MULT, SOURCE_DETAIL, FREQ, REPORTING_TYPE, SERIES, REF_AREA, UNIT_MEASURE",10
#16-9-1,"OBS_STATUS, NATURE, COMMENT_OBS, UNIT_MULT, SOURCE_DETAIL, FREQ, REPORTING_TYPE, SERIES, REF_AREA, UNIT_MEASURE, AGE",11
#16-a-1,"OBS_STATUS, NATURE, COMMENT_OBS, UNIT_MULT, SOURCE_DETAIL, FREQ, REPORTING_TYPE, SERIES, REF_AREA, UNIT_MEASURE",10
#17-1-1,"OBS_STATUS, NATURE, COMMENT_OBS, UNIT_MULT, SOURCE_DETAIL, FREQ, REPORTING_TYPE, SERIES, REF_AREA, UNIT_MEASURE",10
#17-1-2,"OBS_STATUS, NATURE, COMMENT_OBS, UNIT_MULT, SOURCE_DETAIL, FREQ, REPORTING_TYPE, SERIES, REF_AREA, UNIT_MEASURE",10
