Year,seriesdescription,area,sex,age,urbanisation,education-level,unit,TIME_DETAIL,Value
2010,SG_GEN_PARL,BI,F,_T,_T,_T,Percent,2010,32.0
2011,SG_GEN_PARL,BI,F,_T,_T,_T,Percent,2011,32.0
2012,SG_GEN_PARL,BI,F,_T,_T,_T,Percent,2012,32.0
2013,SG_GEN_PARL,BI,F,_T,_T,_T,Percent,2013,32.0
2014,SG_GEN_PARL,BI,F,_T,_T,_T,Percent,2014,32.0
2015,SG_GEN_PARL,BI,F,_T,_T,_T,Percent,2015,36.4
2016,SG_GEN_PARL,BI,F,_T,_T,_T,Percent,2016,36.4
2017,SG_GEN_PARL,BI,F,_T,_T,_T,Percent,2017,36.4
2015,D76,BI,_T,_T,_T,_T,Percent,2015,16.6
2015,D77,BI,_T,_T,_T,_T,Percent,2015,33.6
